Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300
2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100
2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400
2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000
2021-02-13,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-14,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-15,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000
2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600
2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200
2021-02-20,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-21,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000
2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800
2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000
2021-02-27,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-02-28,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33640400
2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19173700
2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32473600
2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30660200
2021-03-06,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-07,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-08,154.889999,210.86999500000002,146.100006,194.5,194.5,63424800
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
2021-03-10,269.429993,348.5,172.0,265.0,265.0,71361900
2021-03-11,241.63999900000002,281.5,232.600006,260.0,260.0,28186000
2021-03-12,275.0,295.5,262.269989,264.5,264.5,25760700
2021-03-13,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-14,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-15,277.519989,283.0,206.0,220.13999900000002,220.13999900000002,24100400
2021-03-16,203.16000400000001,220.69999700000002,172.350006,208.169998,208.169998,35241900
2021-03-17,217.83999599999999,231.47000099999997,204.0,209.809998,209.809998,16259300
2021-03-18,214.0,218.88000499999998,195.649994,201.75,201.75,11764900
2021-03-19,195.729996,227.0,182.66000400000001,200.270004,200.270004,24552100
2021-03-20,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-21,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000
2021-03-22,205.259995,210.36000099999998,186.199997,194.490005,194.490005,10061500
2021-03-23,197.5,201.75,177.550003,181.75,181.75,14429100
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
2021-03-25,123.489998,187.5,116.900002,183.75,183.75,50633100
