Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,265.000000,483.000000,112.250000,193.600006,193.600006,58815800
2021-01-29,379.709991,413.980011,250.000000,325.000000,325.000000,50259200
2021-02-01,316.559998,322.000000,212.000000,225.000000,225.000000,37382200
2021-02-02,140.759995,158.000000,74.220001,90.000000,90.000000,78183100
2021-02-03,112.010002,113.400002,85.250000,92.410004,92.410004,42698500
2021-02-04,91.190002,91.500000,53.330002,53.500000,53.500000,62427300
2021-02-05,54.040001,95.000000,51.090000,63.770000,63.770000,80886300
2021-02-08,72.410004,72.660004,58.020000,60.000000,60.000000,25687300
2021-02-09,56.610001,57.000000,46.520000,50.310001,50.310001,26843100
2021-02-10,50.770000,62.830002,46.549999,51.200001,51.200001,36455000
2021-02-11,50.009998,55.320000,48.220001,51.099998,51.099998,12997400
2021-02-12,50.750000,55.240002,48.049999,52.400002,52.400002,14498000
2021-02-16,52.660000,53.500000,49.040001,49.509998,49.509998,8175000
2021-02-17,49.770000,51.189999,44.560001,45.939999,45.939999,9186800
2021-02-18,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2021-02-19,41.279999,43.889999,38.500000,40.590000,40.590000,14828200
2021-02-22,46.689999,48.509998,42.400002,46.000000,46.000000,19476000
2021-02-23,44.970001,46.230000,40.000000,44.970001,44.970001,7565200
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2021-02-25,169.559998,184.679993,101.000000,108.730003,108.730003,150308800
2021-02-26,117.459999,142.899994,86.000000,101.739998,101.739998,91963000
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
2021-03-02,116.930000,133.199997,112.199997,118.180000,118.180000,33640400
2021-03-03,122.510002,127.750000,113.120003,124.180000,124.180000,19173700
2021-03-04,125.000000,147.869995,115.300003,132.350006,132.350006,32473600
2021-03-05,128.169998,151.529999,127.500000,137.740005,137.740005,30660200
2021-03-08,154.889999,210.869995,146.100006,194.500000,194.500000,63424800
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
2021-03-10,269.429993,348.500000,172.000000,265.000000,265.000000,71361900
2021-03-11,241.639999,281.500000,232.600006,260.000000,260.000000,28186000
2021-03-12,275.000000,295.500000,262.269989,264.500000,264.500000,25760700
2021-03-15,277.519989,283.000000,206.000000,220.139999,220.139999,24100400
2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
2021-03-17,217.839996,231.470001,204.000000,209.809998,209.809998,16259300
2021-03-18,214.000000,218.880005,195.649994,201.750000,201.750000,11764900
2021-03-19,195.729996,227.000000,182.660004,200.270004,200.270004,24552100
2021-03-22,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
2021-03-23,197.500000,201.750000,177.550003,181.750000,181.750000,14429100
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
2021-03-25,123.489998,187.500000,116.900002,183.750000,183.750000,50633100
